1.749173999999999796e+04,1.749173999999999796e+04,1.740214839999999822e+04,1.850665026666666745e+04,1.917439904999999999e+04
1.788734799999999814e+04,1.788734799999999814e+04,1.746201399999999921e+04,1.850012559999999939e+04,1.917599825000000055e+04
1.839062600000000020e+04,1.839062600000000020e+04,1.753789800000000105e+04,1.849677680000000328e+04,1.918082749999999942e+04
1.889460000000000218e+04,1.889460000000000218e+04,1.760687079999999696e+04,1.849034066666667059e+04,1.918507140000000072e+04
1.929218600000000151e+04,1.929218600000000151e+04,1.768930239999999685e+04,1.848403240000000369e+04,1.919101885000000038e+04
1.935484600000000137e+04,1.935484600000000137e+04,1.776408759999999893e+04,1.847761893333333501e+04,1.919750104999999894e+04
1.941471600000000035e+04,1.941471600000000035e+04,1.783489160000000265e+04,1.847147266666666837e+04,1.920326449999999750e+04
1.943327800000000207e+04,1.943327800000000207e+04,1.791042400000000271e+04,1.846596466666666674e+04,1.921025264999999854e+04
1.943098600000000079e+04,1.943098600000000079e+04,1.797425879999999961e+04,1.845868306666666831e+04,1.921775564999999915e+04
1.943188799999999901e+04,1.943188799999999901e+04,1.803957279999999810e+04,1.845350093333333643e+04,1.922358770000000004e+04
1.940111200000000099e+04,1.940111200000000099e+04,1.811178359999999884e+04,1.844861093333333338e+04,1.922776329999999871e+04
1.936293600000000151e+04,1.936293600000000151e+04,1.818145800000000236e+04,1.844668600000000151e+04,1.923332549999999901e+04
1.931413400000000183e+04,1.931413400000000183e+04,1.825831799999999930e+04,1.844422519999999713e+04,1.923796320000000196e+04
1.926682000000000335e+04,1.926682000000000335e+04,1.833329999999999927e+04,1.844212173333333340e+04,1.924280785000000105e+04
1.918586400000000140e+04,1.918586400000000140e+04,1.839850280000000203e+04,1.844160879999999815e+04,1.924776224999999977e+04
1.908420000000000073e+04,1.908420000000000073e+04,1.846854999999999927e+04,1.843572186666667039e+04,1.925296395000000120e+04
1.893281599999999889e+04,1.893281599999999889e+04,1.853385120000000097e+04,1.842352573333333567e+04,1.925683530000000246e+04
1.875481999999999971e+04,1.875481999999999971e+04,1.858392480000000069e+04,1.841119119999999748e+04,1.926169725000000108e+04
1.857881200000000172e+04,1.857881200000000172e+04,1.864308599999999933e+04,1.839524279999999999e+04,1.926841799999999785e+04
1.846475400000000081e+04,1.846475400000000081e+04,1.869662080000000424e+04,1.837764120000000185e+04,1.927232285000000047e+04
1.841428399999999965e+04,1.841428399999999965e+04,1.874923640000000159e+04,1.836163680000000022e+04,1.927548589999999967e+04
