日付,始値,高値,安値,終値
2013-08-23,13583.76,13774.66,13575.40,13660.55
2013-08-22,13314.05,13447.33,13238.73,13365.17
2013-08-21,13431.28,13499.99,13250.36,13424.33
2013-08-20,13632.96,13730.09,13383.18,13396.38
2013-08-19,13669.74,13758.13,13589.78,13758.13
2013-08-16,13532.61,13739.52,13532.61,13650.11
2013-08-15,13845.64,13981.16,13711.12,13752.94
2013-08-14,13936.74,14050.16,13747.18,14050.16
2013-08-13,13696.36,13867.00,13689.49,13867.00
2013-08-12,13469.70,13658.86,13430.64,13519.43
2013-08-09,13673.49,13754.96,13527.81,13615.19
2013-08-08,13779.47,14031.14,13556.65,13605.56
2013-08-07,14155.95,14164.70,13824.94,13824.94
2013-08-06,14237.10,14401.06,14031.61,14401.06
2013-08-05,14318.21,14370.98,14225.50,14258.04
2013-08-02,14178.66,14466.16,14146.92,14466.16
2013-08-01,13674.50,14005.77,13645.61,14005.77
2013-07-31,13733.55,13836.03,13644.21,13668.32
2013-07-30,13634.20,13909.45,13613.78,13869.82
2013-07-29,13899.27,13953.85,13661.13,13661.13
2013-07-26,14339.39,14376.01,14114.52,14129.98
2013-07-25,14747.21,14748.77,14533.21,14562.93
2013-07-24,14719.64,14751.87,14630.68,14731.28
2013-07-23,14555.36,14820.18,14549.06,14778.51
2013-07-22,14770.02,14770.02,14514.29,14658.04
2013-07-19,14909.76,14953.29,14413.28,14589.91
2013-07-18,14645.25,14827.73,14645.25,14808.50
2013-07-17,14491.80,14615.04,14460.56,14615.04
2013-07-16,14594.88,14638.80,14550.89,14599.12
2013-07-12,14475.17,14574.17,14417.30,14506.25
2013-07-11,14275.26,14496.67,14275.26,14472.58
2013-07-10,14464.82,14555.33,14287.69,14416.60
2013-07-09,14295.44,14472.90,14186.03,14472.90
2013-07-08,14491.07,14497.65,14109.34,14109.34
2013-07-05,14150.85,14309.97,14149.50,14309.97
2013-07-04,13970.27,14093.02,13962.30,14018.93
2013-07-03,14149.99,14164.77,13984.08,14055.56
2013-07-02,13969.15,14098.74,13898.54,14098.74
2013-07-01,13746.72,13862.71,13562.70,13852.50
2013-06-28,13383.92,13724.44,13354.70,13677.32
2013-06-27,12968.72,13213.55,12873.50,13213.55
2013-06-26,13152.75,13189.84,12826.51,12834.01
2013-06-25,13081.62,13234.89,12758.22,12969.34
2013-06-24,13417.54,13426.13,13026.23,13062.78
2013-06-21,12787.87,13330.35,12702.67,13230.13
2013-06-20,13101.85,13190.82,12966.41,13014.58
2013-06-19,13233.08,13296.62,13107.65,13245.22
2013-06-18,13015.15,13139.48,12919.03,13007.28
2013-06-17,12584.37,13033.12,12549.82,13033.12
2013-06-14,12668.90,12900.65,12629.31,12686.52
2013-06-13,13038.02,13050.11,12415.85,12445.38
2013-06-12,13087.66,13332.72,12994.08,13289.32
2013-06-11,13504.77,13584.31,13296.31,13317.62
2013-06-10,13141.85,13514.20,13141.37,13514.20
2013-06-07,12706.41,13106.20,12548.20,12877.53
2013-06-06,12925.29,13238.53,12862.02,12904.02
2013-06-05,13566.75,13711.42,13011.16,13014.87
2013-06-04,13186.60,13610.25,13060.94,13533.76
2013-06-03,13551.36,13562.87,13261.82,13261.82
2013-05-31,13804.23,13916.56,13681.39,13774.54
2013-05-30,14072.90,14098.16,13555.66,13589.03
2013-05-29,14492.55,14512.28,14243.49,14326.46
2013-05-28,13943.62,14399.78,13943.62,14311.98
2013-05-27,14373.82,14381.28,14027.42,14142.65
2013-05-24,14731.75,15007.50,13981.52,14612.45
2013-05-23,15739.98,15942.60,14483.98,14483.98
2013-05-22,15440.69,15706.63,15432.64,15627.26
2013-05-21,15264.79,15388.37,15264.42,15381.02
2013-05-20,15260.61,15381.74,15245.80,15360.81
2013-05-17,14926.42,15157.32,14902.30,15138.12
2013-05-16,15146.05,15155.72,14879.51,15037.24
2013-05-15,14962.34,15108.83,14956.38,15096.03
2013-05-14,14822.56,14839.79,14755.08,14758.42
2013-05-13,14759.50,14849.01,14727.70,14782.21
2013-05-10,14449.24,14636.81,14426.74,14607.54
2013-05-09,14366.95,14409.82,14191.48,14191.48
2013-05-08,14196.20,14421.38,14186.83,14285.69
2013-05-07,13960.04,14196.38,13951.81,14180.24
2013-05-02,13727.25,13780.48,13637.96,13694.04
2013-05-01,13837.72,13844.82,13782.00,13799.35
2013-04-30,13854.82,13897.06,13778.75,13860.86
2013-04-26,13978.98,13983.87,13852.20,13884.13
2013-04-25,13887.53,13974.26,13827.96,13926.08
2013-04-24,13687.28,13843.46,13686.78,13843.46
2013-04-23,13545.60,13585.35,13505.53,13529.65
2013-04-22,13537.17,13611.58,13529.44,13568.37
2013-04-19,13268.43,13338.75,13186.89,13316.48
2013-04-18,13272.22,13377.74,13200.85,13220.07
2013-04-17,13330.50,13397.50,13318.69,13382.89
2013-04-16,13023.91,13312.23,13004.46,13221.44
2013-04-15,13345.86,13408.29,13257.86,13275.66
2013-04-12,13568.25,13568.25,13402.86,13485.14
2013-04-11,13444.95,13549.16,13384.11,13549.16
2013-04-10,13177.31,13325.15,13177.31,13288.13
2013-04-09,13309.13,13331.39,13151.73,13192.35
2013-04-08,13082.61,13225.22,13080.29,13192.59
2013-04-05,12880.82,13225.62,12831.10,12833.64
2013-04-04,12188.22,12634.54,12075.97,12634.54
2013-04-03,12112.09,12362.20,12102.05,12362.20
2013-04-02,12051.57,12107.40,11805.78,12003.43
2013-04-01,12371.34,12384.83,12133.00,12135.02
2013-03-29,12405.53,12425.96,12319.75,12397.91
2013-03-28,12457.13,12462.86,12286.37,12335.96
2013-03-27,12476.58,12502.26,12442.39,12493.79
2013-03-26,12461.79,12540.12,12456.04,12471.62
2013-03-25,12507.61,12594.36,12480.42,12546.46
2013-03-22,12498.51,12522.05,12338.53,12338.53
2013-03-21,12592.00,12650.26,12586.06,12635.69
2013-03-19,12405.61,12491.16,12401.12,12468.23
2013-03-18,12365.44,12373.17,12220.63,12220.63
